Subnarrative,Count
Renewable energy is costly,8
Climate policies have negative impact on the economy,30
Renewable energy is unreliable,9
Other,479
Discrediting Ukrainian government and officials and policies,80
Ukraine is a puppet of the West,68
Situation in Ukraine is hopeless,40
The West are the aggressors,94
"The West does not care about Ukraine, only about its interests",60
The West is russophobic,52
Russian invasion has strong national support,7
The West is weak,46
The EU is divided,28
Earth will be uninhabitable soon,16
Amplifying existing fears of global warming,71
Russia actions in Ukraine are only self-defence,46
There is a real possibility that nuclear weapons will be employed,53
Russia will also attack other countries,48
Western media is an instrument of propaganda,32
Whatever we do it is already too late,9
Climate policies are ineffective,21
Criticism of the EU,7
Climate cycles are natural,11
Ukraine is the aggressor,38
Ukraine is associated with nazism,22
Climate movement is alarmist,13
Methodologies/metrics used are unreliable/faulty,8
Russia is a guarantor of peace and prosperity,59
Climate policies are only for profit,12
Criticism of international entities,12
UA is anti-RU extremists,11
Praise of Russian military might,74
Criticism of political organizations and figures,34
Blaming global elites,12
Climate agenda has hidden motives,10
Climate movement is corrupt,7
Discrediting Ukrainian military,44
Doomsday scenarios for humans,19
Praise of Russian President Vladimir Putin,24
Discrediting Ukrainian nation and society,5
Diplomacy does/will not work,32
Rewriting Ukraine’s history,5
Ukrainian army is collapsing,24
Human activities do not impact climate change,5
By continuing the war we risk WWIII,27
Ice is not melting,3
Temperature increase does not have significant impact,4
Scientific community is unreliable,7
Criticism of national governments,34
Weather suggests the trend is global cooling,4
Data shows no temperature increase,2
CO2 is beneficial,5
West is tired of Ukraine,20
The West has the strongest international support,22
The West belongs in the right side of history,19
NATO should/will directly intervene,12
Russian army is collapsing,14
Russia has international support from a number of countries and people,32
Ukrainian media cannot be trusted,4
The conflict will increase the Ukrainian refugee flows to Europe,6
The West is overreacting,7
Sanctions imposed by Western countries will backfire,20
Ukraine is a hub for criminal activities,30
Humans and nature will adapt to the changes,3
Renewable energy is dangerous,3
Ad hominem attacks on key activists,8
CO2 concentrations are too small to have an impact,1
Green activities are a form of neo-colonialism,1
Greenhouse effect/carbon dioxide do not drive climate change,1
NATO will destroy Russia,2
Russian army will lose all the occupied territories,3
